Tag Name,Location Uuid,Movement Type,Date,Event Number
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 13:18:43,58
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:52:19,59
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:34:33,60
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:11:29,61
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:11:14,62
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:59,63
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:41,64
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:37,65
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:31,66
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:26,67
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:07:57,68
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:07:42,69
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:07:29,70
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 08:57:45,71
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 08:57:39,72
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 08:57:37,73
Tag 1,OnWHibLESTm_zXe121hChw,ARRIVAL,2021-07-08 08:57:24,74
Tag 1,OnWHibLESTm_zXe121hChw,DEPARTURE,2021-07-07 16:31:38,75
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 16:31:21,76
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 16:31:07,77
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 16:31:05,78
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 16:31:02,79
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 16:30:48,80
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 16:30:12,81
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 16:29:46,82
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 15:38:58,83
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 15:38:45,84
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 13:13:51,85
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 12:09:02,86
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 11:42:57,87
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 11:42:39,88
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 11:36:51,89
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 11:34:07,90
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 10:31:18,91
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 10:08:35,92
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:16:41,93
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:16:36,94
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:16:29,95
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:16:07,96
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:16:05,97
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:02:14,98
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:00:56,99
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:00:55,100
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:00:51,101
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-07 09:00:47,102
Tag 1,OnWHibLESTm_zXe121hChw,ARRIVAL,2021-07-07 09:00:42,103
Tag 1,OnWHibLESTm_zXe121hChw,DEPARTURE,2021-07-06 15:32:35,104
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 15:32:10,105
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 15:31:16,106
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 15:30:47,107
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 15:28:52,108
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 15:28:29,109
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 15:28:27,110
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 13:59:58,111
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 13:59:43,112
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:39:59,113
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:39:53,114
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:39:51,115
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:19:13,116
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:14:33,117
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:14:32,118
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:14:26,119
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-06 08:14:23,120
Tag 1,OnWHibLESTm_zXe121hChw,ARRIVAL,2021-07-06 08:14:08,121
