Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 11:52:54,1
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:27:09,2
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:27:07,3
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:09:19,4
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:09:17,5
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:08:38,6
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:02:11,7
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 08:59:21,8
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 08:59:17,9
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 08:58:20,10
Tag 1,OnWHibLESTm_zXe121hChw,ARRIVAL,2021-07-12 08:58:13,11
